,target,reference
0,ndci_msi54,ndci_msi74
1,ndci_msi64,ndci_msi74
2,ndci_msi74,ndci_msi74
3,ndci_tm43,ndci_msi74
4,ndci_oli54,ndci_msi74
5,chla_gurlin2b_msi,chla_gurlin2b_msi
6,chla_toming_msi,chla_toming_msi
7,chla_3bda_msi,chla_3bda_msi
8,chla_3bda_oli,chla_3bda_msi
9,chla_3bda_tm,chla_3bda_msi
10,chla_tebbs_msi,chla_tebbs_msi
11,chla_tebbs_oli,chla_tebbs_msi
12,chla_tebbs_tm,chla_tebbs_msi
13,chla_meris2b_msi,chla_meris2b_msi
14,chla_modis2b_msi,chla_modis2b_msi
15,chla_modis2b_tm,chla_modis2b_msi
16,ndssi_rg_msi,ndssi_rg_msi
17,ndssi_rg_oli,ndssi_rg_msi
18,ndssi_rg_tm,ndssi_rg_msi
19,ndssi_bnir_oli,ndssi_rg_msi
20,ti_yu_oli,ti_yu_oli
21,ti_yu_tm,ti_yu_oli
22,tsm_lym_oli,tsm_lym_msi
23,tsm_lym_msi,tsm_lym_msi
24,tsm_lym_tm,tsm_lym_msi
25,tss_grb_msi,tss_grb_msi
26,tss_grb_oli,tss_grb_msi
27,tss_grb_tm,tss_grb_msi
28,tss_gr_msi,tss_gr_msi
29,tss_gr_oli,tss_gr_msi
30,tss_gr_tm,tss_gr_msi
31,spm_qiu_tm,spm_qiu_msi
32,spm_qiu_msi,spm_qiu_msi
33,fai_tm,fai_msi
34,fai_oli,fai_msi
35,fai_msi,fai_msi
36,ndvi_tm,ndvi_tm
37,ndvi_oli,ndvi_tm
38,ndvi_msi,ndvi_tm
39,hue_tm,hue_msi
40,hue_oli,hue_msi
41,hue_msi,hue_msi
42,chla_tc2_msi,chla_tc2_msi
